Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8
Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,501","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,502","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,503","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,504","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,505","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,506","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,507","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,508","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,509","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,510","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,511","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,512","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,513","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,514","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,515","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,516","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,517","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,518","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,519","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,520","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,521","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,522","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,523","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,524","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"2,0E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,525","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"2,0E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,526","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,527","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,528","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,529","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"2,0E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,530","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"2,0E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,531","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,532","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,533","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"2,0E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,534","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,535","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"2,0E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,536","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,537","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,538","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,539","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,540","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,541","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,542","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,543","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,544","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,545","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,546","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,547","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"2,0E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,548","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,549","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,550","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,551","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,552","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"2,0E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,553","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,554","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,555","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"2,0E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,556","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"2,0E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,557","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"2,0E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,558","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,559","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"2,0E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,560","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"2,0E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,561","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"2,0E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,562","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"2,0E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,563","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"2,0E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,564","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"2,0E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,565","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"2,0E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,566","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"2,0E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,567","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"2,0E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,568","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"2,0E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,569","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"2,0E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,570","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"2,0E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,571","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"2,0E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,572","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"2,0E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,573","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"2,0E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,574","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"2,0E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,575","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"2,0E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,576","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"2,0E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,577","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,578","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"2,0E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,579","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"2,0E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,580","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"2,0E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,581","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"2,0E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,582","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"2,0E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,583","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,584","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"2,0E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,585","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"1,9E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,586","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"2,0E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,587","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"2,0E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,588","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"2,0E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,589","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"2,0E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,590","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"2,0E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,591","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"2,0E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,592","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"2,0E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,593","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"2,0E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,594","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"2,0E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,595","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"2,0E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,596","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"2,0E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,597","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"2,0E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,598","-11,830","0,000","0,000","-0,2824","0,000","0,000",2.00E-04,4.00E-05,"2,0E-6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
